conglome,vivienda,hogar,age,fac500a,d544t,educ,male,raza,exper,pea,ing_lab,ing_total,ln_ing,ln_ing_lab
007287,007,11,38,367.40976,1245.0,1,1,Mestizo,21.0,PEA Ocupada,1294.9166,1294.9166,7.1662016,7.1662016
007287,024,11,50,297.12845,1245.0,2,0,Blanco,41.0,PEA Ocupada,126.53472,126.53472,4.8405166,4.8405166
007287,040,11,44,358.57043,1245.0,2,0,Mestizo,32.0,PEA Ocupada,1102.75,1102.75,7.0055623,7.0055623
007287,040,11,25,367.40976,1245.0,1,1,Mestizo,10.0,PEA Ocupada,996.8333,996.8333,6.9045835,6.9045835
007287,091,11,52,297.12845,1141.0,3,0,Mestizo,32.0,PEA Ocupada,2243.5833,2338.6665,7.757336,7.7158294
007287,108,11,48,297.12845,1245.0,1,0,Mestizo,33.0,PEA Ocupada,647.6666,647.6666,6.4733763,6.4733763
007287,141,11,26,358.57043,2482.0,3,0,Mestizo,6.0,PEA Ocupada,1218.9166,1425.75,7.262453,7.1057177
007287,141,11,24,349.97903,889.0,3,1,Otros,5.0,PEA Ocupada,436.75,510.83334,6.2360435,6.079361
007288,027,11,61,93.54327,1030.0,4,0,Mestizo,39.0,PEA Ocupada,1802.3334,1888.1667,7.5433617,7.4968376
007288,044,11,56,93.54327,1245.0,1,0,Blanco,39.0,PEA Ocupada,2041.6666,2041.6666,7.621522,7.621522
007288,126,11,62,106.66571,1245.0,3,1,Mestizo,42.0,PEA Ocupada,1546.0,1546.0,7.343426,7.343426
007288,126,11,62,93.54327,1034.0,4,0,Mestizo,40.0,PEA Ocupada,2412.4165,2498.5833,7.823479,7.7883844
007288,141,11,72,74.65697,1034.0,3,1,Mestizo,51.0,PEA Ocupada,1041.5834,1127.75,7.02798,6.9484973
007288,141,11,32,115.66955,1245.0,4,1,Mestizo,10.0,PEA Ocupada,101.583336,101.583336,4.6208797,4.6208797
007288,141,11,27,112.8867,1245.0,4,0,Mestizo,8.0,PEA Ocupada,164.58333,164.58333,5.103417,5.103417
007289,012,12,62,232.87885,1245.0,1,1,Otros,48.0,PEA Ocupada,1365.75,1365.75,7.219459,7.219459
007289,012,12,62,204.22916,1245.0,2,0,Blanco,51.0,PEA Ocupada,235.58333,235.58333,5.4620647,5.4620647
007289,012,12,35,246.46088,1245.0,1,0,Blanco,18.0,PEA Ocupada,572.5833,572.5833,6.350158,6.350158
007289,012,12,37,252.53654,1245.0,2,1,Mestizo,28.0,PEA Ocupada,578.75,578.75,6.360871,6.360871
007289,012,12,37,252.53654,1245.0,2,1,Mestizo,25.0,PEA Ocupada,1464.0834,1464.0834,7.288985,7.288985
007289,012,22,32,246.46088,1245.0,1,0,Blanco,17.0,PEA Ocupada,188.41667,188.41667,5.238656,5.238656
007289,024,11,54,204.22916,1245.0,2,0,Mestizo,43.0,PEA Ocupada,1295.0834,1295.0834,7.1663303,7.1663303
007289,024,11,53,232.87885,1245.0,2,1,Mestizo,42.0,PEA Ocupada,2151.0833,2151.0833,7.673727,7.673727
007289,024,11,27,252.53654,1245.0,3,1,Mestizo,7.0,PEA Ocupada,1664.5,1664.5,7.41728,7.41728
007289,036,11,58,232.87885,1245.0,1,1,Mestizo,41.0,PEA Ocupada,1761.8334,1761.8334,7.47411,7.47411
007289,036,11,52,204.22916,1245.0,2,0,Otros,41.0,PEA Ocupada,808.5833,808.5833,6.695284,6.695284
007289,036,11,30,252.53654,1769.0,3,1,Mestizo,10.0,PEA Ocupada,2048.6667,2196.0835,7.694431,7.6249447
007289,049,11,50,232.87885,1040.0,3,1,Mestizo,31.0,PEA Ocupada,900.1667,986.8334,6.894501,6.80258
007289,049,11,35,246.46088,624.0,5,0,Mestizo,11.0,PEA Ocupada,1993.3334,2045.3334,7.6233163,7.5975637
007289,061,11,71,162.99548,4162.0,1,1,Mestizo,54.0,PEA Ocupada,1529.75,1876.5834,7.537208,7.3328595
007289,109,11,60,232.87885,1245.0,4,1,Mestizo,38.0,PEA Ocupada,883.1667,883.1667,6.783514,6.783514
007289,109,11,65,161.61465,624.0,3,0,Mestizo,45.0,PEA Ocupada,1638.9166,1690.9166,7.433026,7.4017906
007289,109,11,26,252.53654,5618.0,4,1,Mestizo,4.0,PEA Ocupada,1843.75,2311.9167,7.7458324,7.519557
007290,016,11,65,171.39853,1245.0,2,1,Blanco,56.0,PEA Ocupada,298.5,298.5,5.69877,5.69877
007290,016,11,45,214.75797,1245.0,1,0,Mestizo,32.0,PEA Ocupada,1136.9166,1136.9166,7.036075,7.036075
